ano,classificacao_time2,idade,altura_jogador,peso_jogador,qtd_jogadores,media_jogadores,pct_estrangeiro
2003,0,40.976190476190474,1.81874251497006,76.01807228915662,168,33.6,63.095238095238095
2003,2,42.3013698630137,1.8123287671232877,76.71232876712328,73,24.333333333333332,54.81049562682215
2004,2,41.602409638554214,1.820952380952381,76.9047619047619,84,28.0,47.94520547945205
2005,0,39.03125,1.82725,76.925,160,32.0,65.66265060240963
2005,2,39.29577464788732,1.8243661971830987,77.07042253521126,71,23.666666666666668,56.1764705882353
2006,2,39.27173913043478,1.8158064516129033,76.75268817204301,93,31.0,46.42857142857143
2007,0,37.987730061349694,1.8277914110429447,77.30061349693251,163,32.6,65.625
2007,2,39.08888888888889,1.8274444444444444,78.28888888888889,90,30.0,56.70731707317073
2008,2,36.28260869565217,1.8318478260869566,75.6195652173913,92,30.666666666666668,43.66197183098591
2009,0,34.3563829787234,1.8210160427807485,76.18181818181819,188,37.6,61.76470588235294
2009,2,35.063291139240505,1.8246753246753247,75.39473684210526,82,27.333333333333332,60.11080332409973
2010,2,35.877049180327866,1.8224793388429752,75.85123966942149,127,42.333333333333336,45.16129032258064
2011,0,34.0225988700565,1.8196590909090908,75.88068181818181,177,35.4,66.25766871165644
2011,2,34.51086956521739,1.832717391304348,77.45652173913044,92,30.666666666666668,60.63829787234043
2012,1,33.909574468085104,1.8220855614973264,75.97587131367293,376,31.333333333333332,61.111111111111114
2013,0,32.707602339181285,1.827777777777778,76.19883040935673,171,34.2,65.40284360189574
2013,2,33.13274336283186,1.8200884955752212,75.47787610619469,113,37.666666666666664,58.139534883720934
2014,1,31.95798319327731,1.824774011299435,76.1784702549575,357,29.75,54.347826086956516
2015,0,30.197452229299362,1.8186624203821657,74.94193548387096,157,31.4,62.76595744680851
2015,2,30.7,1.815632183908046,75.55813953488372,90,30.0,59.66850828729282
2016,1,30.539772727272727,1.8243440233236152,76.92128279883381,352,29.333333333333332,52.4390243902439
2017,0,28.692307692307693,1.8251408450704227,75.63120567375887,143,28.6,62.04081632653061
2017,2,30.306818181818183,1.8393181818181816,78.3953488372093,88,29.333333333333332,58.47457627118644
2018,2,28.397727272727273,1.8250602409638552,75.6125,88,29.333333333333332,48.818897637795274
2019,0,25.814814814814813,1.8102923976608187,74.53703703703704,189,37.8,60.451977401129945
2019,2,26.83495145631068,1.8319780219780222,75.83908045977012,103,34.333333333333336,58.19672131147541
2020,1,25.535897435897436,1.825493827160494,75.41471571906355,390,32.5,57.608695652173914
2021,0,25.537974683544302,1.8296268656716417,75.85271317829458,158,31.6,62.57668711656442
2021,2,26.914634146341463,1.826027397260274,74.63380281690141,82,27.333333333333332,57.180851063829785
